year,month,Cy,Gr1,Gr2,Di1,Di2,Go1,Go2,Cr1,Cr2,Mi,He,Om,Pr,temperature,phosphorus
1988,8,15501.85185,48901.85185,16744.44444,90322.22222,98894.44444,418294.8148,164439.3827,140814.8148,21211.11111,12919.18519,712600,293800,1800,10.25789474,0.039842105
1988,9,28155.55556,40538.88889,8407.407407,36731.48148,58368.51852,259870.3704,36034.20989,151851.8519,37488.24074,7561.777778,824100,743030.6,8800,9.594736842,0.047789474
1988,10,48362.96296,15937.03704,2655.555556,15085.18519,71659.25926,243648.1481,32959.01234,132370.3704,11329.62963,9792.592593,767500,343000,7100,9.184210526,0.038842105
1988,11,17325.92593,152381.4815,2064.814815,34101.85185,29487.03704,93740.74074,31549.45679,39222.22222,3935.185185,1877.777778,127340,82160,0,7.347368421,0.046473684
1988,12,28183.33333,4157.407407,2851.851852,89933.33333,45874.07407,58259.25926,36640.74074,30814.81481,1925.925926,2238.888889,206860,110760,0,6.121052632,0.026947368
1989,1,34681.48148,43755.55556,1685.185185,37812.96296,15646.2963,41407.40741,35196.66667,32296.2963,1909.259259,2134.148148,229960,75380,0,5.263157895,0.042315789
1989,2,34394.44444,3068.518519,1159.259259,86846.2963,19398.14815,16555.55556,24691.97531,177148.1481,6329.62963,4685.185185,176320,68000,0,4.805263158,0.055157895
1989,3,30761.88889,2462.962963,2353.703704,166372.2222,49833.33333,34444.44444,25101.85185,163481.4815,11359.25926,7187.037037,103280,47760,0,4.936842105,0.053
1989,4,34535.18519,203.7037037,4185.185185,431835.1852,207677.7778,47851.85185,64955.48148,8226.187037,3512.962963,6940.740741,201600,79600,0,5.578947368,0.045263158
1989,5,46444.44444,1464.814815,10968,178324.0741,637590.7407,43629.62963,35529.53704,83037.03704,30724.07407,11014.81481,1567200,431500,0,7.363157895,0.043684211
1989,6,52203.7037,25340.74074,5387.037037,14548.14815,53498.14815,206888.8889,31462.96296,74703.7037,21270.37037,8418.518519,1562100,408700,10600,8.426315789,0.046
1989,7,14605.55556,92340.74074,8905.555556,23688.88889,313700,27944.44444,79620.49382,24740.74074,16909.25926,11794.02037,595200,224100,29500,9.468421053,0.048315789
1989,8,28005.55556,66268.51852,7290.740741,60839.35556,176188.8889,386322.2222,51146.2963,282037.037,30192.59259,8731.481481,791100,560200,12500,10.18421053,0.048947368
1989,9,29500,13462.96296,8500,41131.48148,44355.55556,142185.1852,68557.40741,156851.8519,9640.740741,5840.740741,627600,473576.88,4400,9.457894737,0.054684211
1989,10,46857.25926,4192.592593,6625.925926,47768.51852,10812.96296,90148.14815,45283.33333,59740.74074,8020.37037,2657.407407,585700,388120.5,6600,9.247368421,0.051631579
1989,11,45612.96296,3016.666667,4159.259259,38170.37037,339175.9259,60481.48148,31696.4321,47111.11111,6379.62963,3372.222222,258336,295230.5,0,8.063157895,0.059789474
1989,12,30697.90741,1768.518519,1603.703704,22106.3963,88472.22222,19851.85185,35818.51852,53703.7037,1232.296296,2264.814815,138900,108860,0,6.078947368,0.058684211
1990,1,36857.40741,3007.407407,3637.037037,12012.96296,103924.0741,24925.92593,16185.18519,109555.5556,8340.740741,5131.481481,212206,61893,0,5.178947368,0.059
1990,2,57240.74074,2085296.296,7025.925926,47740.74074,103911.1111,27666.66667,25022.22222,173925.9259,11046.2963,3866.666667,134397,21219,0,4.857894737,0.057105263
1990,3,18209.25926,7740.740741,2211.111111,127385.1852,155861.1111,97444.44444,13707.40741,220259.2593,16694.44444,3318.518519,139735,74290,0,4.973684211,0.041
1990,4,20437.99259,1000,3266.666667,823200,307329.6296,41740.74074,15040.74074,64037.03704,7633.333333,4887.037037,501785,338307,0,5.736842105,0.037842105
1990,5,10803.7037,8314.814815,1731.481481,169992.5926,30379.62963,168185.1852,32529.62963,84000,12640.74074,6990.740741,1108246.63,894403.56,0,7.831578947,0.034736842
1990,6,31687.03704,45905.55556,2662.962963,42000,14148.14815,111666.6667,33726.17285,123740.7407,19172.22222,8246.296296,1457049,480734.92,0,8.368421053,0.039684211
